Freq(Hz), SPL(dB)
368.419647, 104.508
368.756104, 104.507
369.092560, 104.505
369.429016, 104.503
369.765472, 104.500
370.101929, 104.497
370.438385, 104.495
370.774841, 104.493
371.111298, 104.491
371.447754, 104.489
371.784210, 104.488
372.120667, 104.487
372.457123, 104.486
372.793579, 104.484
373.130035, 104.483
373.466492, 104.482
373.802948, 104.481
374.139404, 104.481
374.475861, 104.481
374.812317, 104.482
375.148773, 104.483
375.485229, 104.484
375.821686, 104.485
376.158142, 104.487
376.494598, 104.489
376.831055, 104.491
377.167511, 104.494
377.503967, 104.497
377.840424, 104.501
378.176880, 104.505
378.513336, 104.509
378.849792, 104.514
379.186249, 104.519
379.522705, 104.525
379.859161, 104.531
380.195618, 104.537
380.532074, 104.543
380.868530, 104.548
381.204987, 104.553
381.541443, 104.558
381.877899, 104.562
382.214355, 104.565
382.550812, 104.570
382.887268, 104.574
383.223724, 104.579
383.560181, 104.583
383.896637, 104.587
384.233093, 104.590
384.569550, 104.593
384.906006, 104.595
385.242462, 104.598
385.578918, 104.601
385.915375, 104.604
386.251831, 104.607
386.588287, 104.608
386.924744, 104.610
387.261200, 104.611
387.597656, 104.612
387.934113, 104.613
388.270569, 104.613
388.607025, 104.614
388.943481, 104.615
389.279938, 104.615
389.616394, 104.615
389.952850, 104.615
390.289307, 104.614
390.625763, 104.614
390.962219, 104.614
391.298676, 104.614
391.635132, 104.614
391.971588, 104.614
392.308044, 104.614
392.644501, 104.614
392.980957, 104.613
393.317413, 104.612
393.653870, 104.611
393.990326, 104.611
394.326782, 104.610
394.663239, 104.610
394.999695, 104.609
395.336151, 104.608
395.672607, 104.607
396.009064, 104.606
396.345520, 104.606
396.681976, 104.605
397.018433, 104.604
397.354889, 104.604
397.691345, 104.602
398.027802, 104.601
398.364258, 104.600
398.700714, 104.599
399.037170, 104.598
399.373627, 104.598
399.710083, 104.597
400.046539, 104.597
400.382996, 104.596
400.719452, 104.596
401.055908, 104.595
401.392365, 104.595
401.728821, 104.594
402.065277, 104.594
402.401733, 104.593
402.738190, 104.591
403.074646, 104.590
403.411102, 104.589
403.747559, 104.588
404.084015, 104.588
404.420471, 104.588
404.756927, 104.587
405.093384, 104.587
405.429840, 104.586
405.766296, 104.585
406.102753, 104.585
406.439209, 104.584
406.775665, 104.584
407.112122, 104.583
407.448578, 104.583
407.785034, 104.583
408.121490, 104.583
408.457947, 104.583
408.794403, 104.583
409.130859, 104.583
409.467316, 104.583
409.803772, 104.583
410.140228, 104.582
410.476685, 104.582
410.813141, 104.582
411.149597, 104.582
411.486053, 104.583
411.822510, 104.583
412.158966, 104.584
412.495422, 104.584
412.831879, 104.584
413.168335, 104.584
413.504791, 104.585
413.841248, 104.586
414.177704, 104.587
414.514160, 104.588
414.850616, 104.589
415.187073, 104.589
415.523529, 104.589
415.859985, 104.590
416.196442, 104.591
416.532898, 104.592
416.869354, 104.594
417.205811, 104.595
417.542267, 104.596
417.878723, 104.597
418.215179, 104.598
418.551636, 104.599
418.888092, 104.600
419.224548, 104.601
419.561005, 104.603
419.897461, 104.605
420.233917, 104.607
420.570374, 104.608
420.906830, 104.610
421.243286, 104.611
421.579742, 104.613
421.916199, 104.614
422.252655, 104.615
422.589111, 104.617
422.925568, 104.618
423.262024, 104.620
423.598480, 104.622
423.934937, 104.624
424.271393, 104.626
424.607849, 104.629
424.944305, 104.631
425.280762, 104.632
425.617218, 104.634
425.953674, 104.635
426.290131, 104.636
426.626587, 104.637
426.963043, 104.639
427.299500, 104.640
427.635956, 104.642
427.972412, 104.644
428.308868, 104.646
428.645325, 104.647
428.981781, 104.649
429.318237, 104.650
429.654694, 104.651
429.991150, 104.653
430.327606, 104.654
430.664062, 104.655
431.000519, 104.657
431.336975, 104.658
431.673431, 104.659
432.009888, 104.660
432.346344, 104.661
432.682800, 104.662
433.019257, 104.663
433.355713, 104.664
433.692169, 104.665
434.028625, 104.666
434.365082, 104.666
434.701538, 104.667
435.037994, 104.667
435.374451, 104.668
435.710907, 104.669
436.047363, 104.669
436.383820, 104.670
436.720276, 104.671
437.056732, 104.671
437.393188, 104.671
437.729645, 104.672
438.066101, 104.672
438.402557, 104.673
438.739014, 104.673
439.075470, 104.674
439.411926, 104.674
439.748383, 104.674
440.084839, 104.675
440.421295, 104.675
440.757751, 104.676
441.094208, 104.676
441.430664, 104.676
441.767120, 104.676
442.103577, 104.675
442.440033, 104.675
442.776489, 104.675
443.112946, 104.676
443.449402, 104.677
443.785858, 104.678
444.122314, 104.678
444.458771, 104.678
444.795227, 104.678
445.131683, 104.678
445.468140, 104.678
445.804596, 104.678
446.141052, 104.678
446.477509, 104.679
446.813965, 104.679
447.150421, 104.679
447.486877, 104.679
447.823334, 104.679
448.159790, 104.679
448.496246, 104.679
448.832703, 104.679
449.169159, 104.679
449.505615, 104.679
449.842072, 104.679
450.178528, 104.678
450.514984, 104.678
450.851440, 104.678
451.187897, 104.679
451.524353, 104.679
451.860809, 104.679
452.197266, 104.679
452.533722, 104.679
452.870178, 104.679
453.206635, 104.679
453.543091, 104.679
453.879547, 104.679
454.216003, 104.679
454.552460, 104.679
454.888916, 104.679
455.225372, 104.678
455.561829, 104.678
455.898285, 104.678
456.234741, 104.678
456.571198, 104.679
456.907654, 104.679
457.244110, 104.679
457.580566, 104.679
457.917023, 104.679
458.253479, 104.679
458.589935, 104.679
458.926392, 104.678
459.262848, 104.678
459.599304, 104.678
459.935760, 104.678
460.272217, 104.678
460.608673, 104.678
460.945129, 104.678
461.281586, 104.678
461.618042, 104.679
461.954498, 104.680
462.290955, 104.680
462.627411, 104.680
462.963867, 104.681
463.300323, 104.681
463.636780, 104.681
463.973236, 104.681
464.309692, 104.681
464.646149, 104.681
464.982605, 104.681
465.319061, 104.682
465.655518, 104.682
465.991974, 104.683
466.328430, 104.684
466.664886, 104.684
467.001343, 104.685
467.337799, 104.685
467.674255, 104.686
468.010712, 104.686
468.347168, 104.686
468.683624, 104.687
469.020081, 104.688
469.356537, 104.688
469.692993, 104.689
