frequency,tf
366.463,7.01871
369.003,6.95171
371.561,6.88512
374.136,6.81897
376.73,6.75323
379.341,6.68791
381.971,6.623
384.618,6.55851
387.284,6.49442
389.969,6.43073
392.672,6.36745
395.394,6.30456
398.135,6.24207
400.895,6.17996
403.673,6.11825
406.471,6.05693
409.289,5.99599
412.126,5.93544
414.983,5.87529
417.859,5.81552
420.756,5.75615
423.672,5.69716
426.609,5.63856
429.566,5.58036
432.544,5.52254
435.542,5.46512
438.561,5.40809
441.601,5.35145
444.662,5.2952
447.744,5.23934
450.848,5.18387
453.973,5.1288
457.12,5.07412
460.289,5.01982
463.479,4.96593
466.692,4.91242
469.927,4.85931
473.184,4.80659
476.464,4.75427
479.767,4.70233
